"nom","taille","age","points","reb","pd","d","v_d","min","2p_av","3p_av","fg_av","ft_av","ro","rebb","pdd","inn","bp","ct","fa","ptss","eva","ptsss","rebbb","ast","stl","blk","equipe"
Cheikh Diallo,"1m91",27,2.0,1.0,0.2,5,"2-3",8.6,"20%","14.3%","16.7%","62.5%",0.2,1.0,0.2,0.2,0.6,0.0,0.6,2.0,0.2,5.0,3.0,1.0,1.0,0.0,loon-plage
Jamar Abrams,"2m01",34,14.8,4.6,0.8,16,"6-10",28.8,"49.3%","37.4%","42.3%","75%",0.8,4.6,0.8,0.9,1.6,0.1,2.3,14.8,12.1,25.0,8.0,3.0,2.0,1.0,lorient
Hugo Suhard,"1m84",31,14.6,2.2,5.2,22,"8-14",31.1,"47.3%","39.6%","43%","77.6%",0.2,2.2,5.2,1.0,2.2,0.0,2.1,14.6,13.7,30.0,5.0,11.0,3.0,0.0,lorient
Fabio Milanese,"1m90",20,11.3,2.1,3.0,10,"3-7",20.3,"52.4%","38.9%","46.2%","73%",0.6,2.1,3.0,0.7,1.5,0.0,2.2,11.3,10.4,19.0,4.0,6.0,3.0,0.0,lorient
Pape Beye,"2m02",33,10.4,4.5,0.4,22,"8-14",20.5,"67.5%",-,"67.5%","75%",1.8,4.5,0.4,0.3,2.2,0.5,2.8,10.4,11.1,18.0,16.0,3.0,1.0,3.0,lorient
Jordan Williams,"2m03",28,9.8,5.9,2.5,13,"5-8",23.8,"60.5%",-,"60.5%","68.2%",1.7,5.9,2.5,0.5,2.6,0.3,2.2,9.8,12.8,19.0,13.0,6.0,2.0,1.0,lorient
Kevin Mondesir,"2m04",32,9.6,4.5,1.5,19,"8-11",24.0,"56.3%","30.6%","42.6%","84.6%",1.2,4.5,1.5,0.5,2.7,0.2,3.4,9.6,9.1,20.0,10.0,6.0,2.0,2.0,lorient
Matthieu Robin,"1m89",31,8.1,4.8,4.3,22,"8-14",29.2,"44.6%","34%","40.3%","74.7%",1.5,4.8,4.3,0.9,2.6,0.1,2.7,8.1,11.2,16.0,10.0,7.0,2.0,1.0,lorient
David Jean-Baptiste,"1m84",,6.3,1.4,0.7,9,"3-6",14.4,"64.7%","25.6%","37.5%","100%",0.3,1.4,0.7,0.7,1.0,0.0,1.8,6.3,4.2,13.0,6.0,3.0,3.0,0.0,lorient
Gregory Bengaber,"1m88",26,4.4,1.9,2.3,7,"2-5",16.6,"60%","14.3%","45.5%","52.6%",0.4,1.9,2.3,1.3,1.6,0.0,3.3,4.4,5.3,8.0,4.0,6.0,3.0,0.0,lorient
Quentin Hanck,"1m92",30,4.4,1.6,0.6,19,"7-12",14.4,"38.9%","37%","37.5%","83.3%",0.5,1.6,0.6,0.2,0.6,0.2,1.9,4.4,4.0,13.0,4.0,3.0,1.0,1.0,lorient
Abdoulaye Sy,"2m01",28,3.8,3.7,1.8,15,"6-9",18.8,"53.6%","22.2%","41.3%","71.4%",0.4,3.7,1.8,0.5,1.5,0.1,2.5,3.8,6.1,8.0,7.0,4.0,2.0,1.0,lorient
Ousmane Gueye,-,22,2.5,1.6,0.4,20,"7-13",11.7,"41.7%","32%","36.7%","71.4%",0.6,1.6,0.4,0.3,0.8,0.0,1.7,2.5,2.2,7.0,4.0,1.0,2.0,0.0,lorient
Alexis Ville,-,,2.0,2.0,0.5,2,"0-2",12.5,"66.7%","0%","50%",-,1.0,2.0,0.5,0.0,0.0,0.0,1.5,2.0,3.5,4.0,3.0,1.0,0.0,0.0,lorient
Claudien Eliezer-Vanerot,"1m92",22,1.2,1.7,1.8,13,"5-8",12.5,"29.2%","0%","26.9%","100%",0.3,1.7,1.8,0.6,1.2,0.2,2.4,1.2,2.9,5.0,6.0,7.0,2.0,1.0,lorient
Marvin Rosele,"2m03",21,0.0,0.0,0.0,1,"0-1",2.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lorient
Jordan Barham,"1m95",29,16.5,5.0,1.3,4,"2-2",26.5,"53.7%","100%","54.8%","76%",0.8,5.0,1.3,1.3,2.8,0.0,2.0,16.5,15.0,21.0,7.0,2.0,2.0,0.0,lyon
Thibault Desseignet,"1m79",25,12.9,3.5,5.1,22,"8-14",30.0,"48.6%","21.5%","37.7%","76.3%",0.7,3.5,5.1,1.4,3.0,0.0,2.4,12.9,12.1,21.0,9.0,11.0,6.0,0.0,lyon
Kiady Razanamahenina,"1m85",27,12.9,1.9,2.4,18,"5-13",25.5,"47.1%","30.7%","39.6%","73.6%",0.3,1.9,2.4,0.9,1.9,0.1,1.6,12.9,8.7,24.0,5.0,6.0,3.0,1.0,lyon
Dylan Gana,"2m00",31,12.0,7.5,4.0,2,"1-1",33.0,"40%","33.3%","35.3%","61.5%",1.0,7.5,4.0,2.0,3.5,0.0,2.0,12.0,14.0,16.0,9.0,4.0,3.0,0.0,lyon
Sya Plaucoste,"1m93",22,11.5,3.0,1.4,22,"8-14",27.7,"52.8%","19.1%","37.8%","69.4%",0.5,3.0,1.4,1.6,1.9,0.5,1.3,11.5,8.0,21.0,6.0,4.0,5.0,1.0,lyon
Joshua Sykes,"2m03",27,10.2,4.5,0.8,11,"5-6",22.2,"62%",-,"62%","51.1%",0.9,4.5,0.8,0.5,2.8,1.2,3.2,10.2,9.8,16.0,13.0,2.0,2.0,3.0,lyon
Bastien Albert,"2m02",29,7.7,6.3,1.6,19,"7-12",22.9,"55.1%","100%","55.5%","35.9%",2.9,6.3,1.6,1.3,1.4,0.5,3.7,7.7,11.8,18.0,11.0,6.0,3.0,2.0,lyon
Francois Wibaut,"2m00",18,6.1,4.1,0.8,17,"4-13",17.4,"56.4%","21.9%","43.7%","76.9%",1.3,4.1,0.8,0.7,1.1,0.1,2.7,6.1,7.5,16.0,11.0,4.0,4.0,1.0,lyon
Ousseynou Laye Basse,"1m98",31,5.2,3.8,1.0,5,"0-5",14.0,"47.8%","0%","44%","80%",0.6,3.8,1.0,0.8,2.0,0.2,0.8,5.2,6.0,17.0,8.0,3.0,3.0,1.0,lyon
Matheo Vidalenche,"2m02",21,4.6,2.9,0.7,21,"7-14",17.0,"51.2%","42.9%","47.4%","45.5%",1.0,2.9,0.7,0.4,0.6,0.4,2.0,4.6,6.0,12.0,7.0,3.0,2.0,1.0,lyon
Georgi Joseph,"2m00",41,4.5,4.2,1.9,19,"6-13",23.1,"43.2%","0%","42.7%","80.8%",1.7,4.2,1.9,1.1,2.3,0.3,3.0,4.5,7.2,10.0,9.0,4.0,2.0,3.0,lyon
Noah Manet,"1m93",19,3.7,1.9,0.6,15,"6-9",16.5,"40%","30%","34%","80%",0.4,1.9,0.6,0.5,0.5,0.0,1.3,3.7,3.7,15.0,5.0,2.0,2.0,0.0,lyon
